candidate_priority_rank,rank,district_name,admin_name,admin_code,hex_id,primary_reason,vulnerability_m3_final,demand_index_final,access_cost_m0,access_cost_m3,registered_population,registered_senior_population,centroid_x,centroid_y,candidate_node_id,candidate_snap_distance_m,candidate_x,candidate_y,nearest_bus_stop_m,nearest_bus_stop_id,nearest_bus_stop_name,nearest_bus_passengers_sum,bus_stop_count_300m,bus_stop_count_400m,nearest_road_m,nearest_road_name,nearest_road_highway,nearest_road_edge_length_m,recommended_action,site_feasibility,manual_check_required,manual_check_items
1,6,노원구,중계2·3동,11110780,8930e1c2337ffff,high_demand_plus_near_400m_distance,0.0700549866980964,0.39490020547929505,366.2627693911319,388.6397346615837,3478.6213207288647,938.4310585592737,961764.4290627666,1960427.5593193043,7153105653,91.78984282521145,961798.2958243404,1960342.245676161,52.0079612819721,110000284,서울시립북서울미술관후문,33132.0,11,18,3.7487827255074814e-07,,service,255.93960033445214,access_route_improvement_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
2,95,노원구,상계9동,11110730,8930e1c21b3ffff,high_demand_plus_near_400m_distance,0.04684625582703342,0.2654357339567296,359.32557577943976,391.06447090154256,3242.761881630652,720.6326761478696,961266.5578429103,1963202.8962462633,4701037707,36.30685311105654,961299.3361927614,1963187.2831951885,60.98307241894481,110900131,청원고등학교후문,76283.0,9,17,3.023224750350986e-07,,footway,81.96848753219055,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
3,35,도봉구,도봉2동,11100650,8930e1d5673ffff,high_demand_plus_near_400m_distance,0.05436773753530244,0.2889676415214479,385.45482547112374,415.71265118403556,2066.6779178009097,641.9532633330965,960025.3293655138,1965304.6626141057,4665541844,54.41338880166614,960079.3880267089,1965298.459547874,243.1582518637162,109900025,도봉파크빌3단지,4901.0,7,14,1.2582532522213266e-07,,service,74.4595974329041,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
4,59,강남구,도곡2동,11230670,8930e1c85dbffff,high_demand_plus_near_400m_distance,0.05054599995800594,0.27067410073908005,387.33313439572055,413.50420367911966,3081.996584983638,547.0608168730541,960536.755837284,1943191.9697780982,3989642814,10.114319981332672,960545.3856169728,1943197.2448488283,257.6958530520285,122000222,우성캐릭터빌아파트,227868.0,3,9,3.517611517998577e-08,,"['footway', 'steps']",55.600944367630156,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
5,67,성북구,종암동,11080840,8930e1c33b3ffff,high_demand_plus_near_400m_distance,0.04936129589076682,0.2733324391520643,372.7829786789012,399.75221665637747,2513.242767458122,510.3662240997136,959115.675333939,1955781.990715704,7018937873,4.310518304974077,959118.8980125636,1955784.8533911204,176.34333849970636,107000040,종암SK아파트,154844.0,5,13,2.6421867385239776e-07,,service,157.96291483943344,access_route_improvement_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
6,103,도봉구,방학3동,11100570,8930e1c2477ffff,high_demand_plus_near_400m_distance,0.04621763816135742,0.2877470744686251,325.9469881563721,354.94157937484306,3217.22068906469,807.3944456389795,958427.4510149773,1962390.8589128435,4776237056,47.976448051325534,958379.5146576175,1962392.819833724,29.977940203898758,109900029,신동아아파트16동,68308.0,18,27,4.7156289044269745e-07,,service,125.13078645357879,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
7,129,동대문구,이문2동,11060900,8930e1c005bffff,high_demand_plus_near_400m_distance,0.04449325297042485,0.2725907411720303,338.9906321484471,361.34208448002784,2618.6190634620116,559.4358673415022,961887.9150565504,1955651.631033542,9776883116,39.48249820417016,961849.3816806128,1955643.02599994,52.135418577051965,105000558,한천로입구,65814.0,8,12,3.9012793931807167e-07,,footway,220.5300828117748,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
8,17,강동구,성내2동,11250660,8930e1cf4abffff,high_demand_plus_near_400m_distance,0.06183251114226606,0.3521488117030754,357.17836637643296,385.75348384384324,3220.471242484264,685.3992525063888,966944.8288129842,1948492.1231891494,3856514157,16.037596329527215,966930.0768376748,1948498.4147486144,264.53589364465813,124000028,천호역6번출구,771924.0,3,11,1.9190405604073888e-07,풍성로35길,residential,45.06309129851963,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
9,204,송파구,풍납1동,11240510,8930e1cf487ffff,near_400m_distance,0.039837195129870884,0.23022393245603395,354.0886456415961,385.4729359967107,2043.0524026517996,545.8739295426706,966508.3437589309,1948879.9638179946,3853478063,15.938192233393737,966492.6441215072,1948877.2165727504,115.61372566863298,123000022,풍납토성.천호역10번출구,702875.0,3,7,1.9641817065608386e-07,바람드리15길,residential,28.246999909067842,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
10,208,강남구,도곡2동,11230670,8930e1c84abffff,near_400m_distance,0.039693678149138746,0.22930769937883452,357.8694994857353,385.6811985873745,3032.6828245950987,542.3208082244349,960056.2347205715,1942953.2562352978,3741376627,24.532650793913536,960031.7337907898,1942952.0090806128,129.6126336166035,122000544,매봉역입구,546639.0,4,9,4.4054088140101056e-07,,service,106.472094719674,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
