variant,parameter,multiplier,value,vulnerable_share,vulnerable_count,hidden_count,hidden_registered_population_sum,hidden_registered_senior_population_sum,mean_access_cost_m3,p90_access_cost_m3,vulnerability_threshold,vulnerable_overlap_with_baseline,vulnerable_retention_pct,vulnerable_jaccard,hidden_overlap_with_baseline,hidden_retention_pct,hidden_jaccard,spearman_vulnerability_vs_baseline
alpha_0.70x,alpha,0.7,0.020999999999999998,0.2,877,632,1652956.436607256,340623.81222871307,207.30136490105633,410.1795788852625,0.028278688213540373,861,0.9817559863169898,0.9641657334826428,616,0.9746835443037974,0.9506172839506173,0.9996774537224342
alpha_0.80x,alpha,0.8,0.024,0.2,877,632,1655568.7509575852,341240.90487685753,208.9519799698529,413.8752704299641,0.028502910126170008,866,0.9874572405929305,0.9752252252252253,621,0.9825949367088608,0.9657853810264385,0.9998569910809582
alpha_0.90x,alpha,0.9,0.027,0.2,877,632,1658130.865929055,341912.1002120782,210.60259503864944,416.18715598661737,0.02866419283831807,871,0.9931584948688712,0.986409966024915,626,0.990506329113924,0.9811912225705329,0.9999627962915882
alpha_1.00x,alpha,1.0,0.03,0.2,877,632,1660653.543722817,342011.689937603,212.25321010744605,420.7290295749916,0.028835837170501415,877,1.0,1.0,632,1.0,1.0,0.999999576262683
alpha_1.10x,alpha,1.1,0.033,0.2,877,633,1664025.7442686947,342560.76824419794,213.90382517624258,425.6971351925311,0.029009864028525,873,0.9954389965792474,0.9909194097616345,629,0.995253164556962,0.9889937106918238,0.9999675512805782
alpha_1.20x,alpha,1.2,0.036,0.2,877,633,1665818.5800871411,343231.75564012956,215.55444024503916,430.61925459634455,0.029191443553783048,869,0.9908779931584949,0.9819209039548022,625,0.9889240506329114,0.9765625,0.9998759979110475
alpha_1.30x,alpha,1.3,0.039,0.2,877,633,1666613.3267073575,343438.6217137527,217.2050553138357,433.88197516561934,0.029402817704496258,865,0.9863169897377423,0.9730033745781778,621,0.9825949367088608,0.9642857142857143,0.9997310415124175
beta_weather_0.70x,beta_weather,0.7,0.020999999999999998,0.2,877,632,1660653.543722817,342011.689937603,208.66552569506675,413.6387235722641,0.028837477966978314,877,1.0,1.0,632,1.0,1.0,0.9999995960941602
beta_weather_0.80x,beta_weather,0.8,0.024,0.2,877,632,1660653.543722817,342011.689937603,209.8614204991932,416.0021589065066,0.028836924774670158,877,1.0,1.0,632,1.0,1.0,0.9999995923846753
beta_weather_0.90x,beta_weather,0.9,0.027,0.2,877,632,1660653.543722817,342011.689937603,211.0573153033196,418.3655942407491,0.02883637787813395,877,1.0,1.0,632,1.0,1.0,0.9999995811135479
beta_weather_1.00x,beta_weather,1.0,0.03,0.2,877,632,1660653.543722817,342011.689937603,212.25321010744605,420.7290295749916,0.028835837170501415,877,1.0,1.0,632,1.0,1.0,0.999999576262683
beta_weather_1.10x,beta_weather,1.1,0.033,0.2,877,632,1660653.543722817,342011.689937603,213.44910491157242,423.09246490923414,0.028835302547309406,877,1.0,1.0,632,1.0,1.0,0.9999995648488833
beta_weather_1.20x,beta_weather,1.2,0.036,0.2,877,632,1660653.543722817,342011.689937603,214.64499971569887,425.4559002434766,0.02883477390643261,877,1.0,1.0,632,1.0,1.0,0.9999995500109436
beta_weather_1.30x,beta_weather,1.3,0.039,0.2,877,632,1660653.543722817,342011.689937603,215.8408945198253,427.81933557771913,0.028834251148018516,877,1.0,1.0,632,1.0,1.0,0.9999995425919738
beta_interaction_0.70x,beta_interaction,0.7,0.055999999999999994,0.2,877,632,1661549.2831064602,342282.09882239916,211.9596716939123,419.8348615126385,0.02879588702662271,876,0.9988597491448119,0.9977220956719818,631,0.9984177215189873,0.9968404423380727,0.9999975752809086
beta_interaction_0.80x,beta_interaction,0.8,0.064,0.2,877,632,1660653.543722817,342011.689937603,212.05751783175688,420.0849961999331,0.028816838808150873,877,1.0,1.0,632,1.0,1.0,0.9999985360375054
beta_interaction_0.90x,beta_interaction,0.9,0.07200000000000001,0.2,877,632,1660653.543722817,342011.689937603,212.15536396960144,420.4101508557767,0.028826338354172008,877,1.0,1.0,632,1.0,1.0,0.9999992020327226
beta_interaction_1.00x,beta_interaction,1.0,0.08,0.2,877,632,1660653.543722817,342011.689937603,212.25321010744605,420.7290295749916,0.028835837170501415,877,1.0,1.0,632,1.0,1.0,0.999999576262683
beta_interaction_1.10x,beta_interaction,1.1,0.08800000000000001,0.2,877,632,1660653.543722817,342011.689937603,212.35105624529058,421.1273733395277,0.02884736305092822,877,1.0,1.0,632,1.0,1.0,0.9999994885190971
beta_interaction_1.20x,beta_interaction,1.2,0.096,0.2,877,632,1660653.543722817,342011.689937603,212.4489023831352,421.5485233067578,0.0288607388901848,877,1.0,1.0,632,1.0,1.0,0.999999027116241
beta_interaction_1.30x,beta_interaction,1.3,0.10400000000000001,0.2,877,632,1660653.543722817,342011.689937603,212.54674852097972,421.90132358878225,0.028874113702117052,877,1.0,1.0,632,1.0,1.0,0.9999982260101685
