hex_id,registered_population,registered_senior_population,demand_index_final,access_cost_m0,access_cost_m3,official_400m_ok_m0,vulnerable_m3_final,hidden_vulnerable_final,access_cost_m4_ref_min,senior_hidden_robust,district_name,admin_name,admin_code
8930e036007ffff,2534.26827806746,603.7236516314715,0.31338768409502765,329.6211561479864,391.9305275409888,True,True,True,6.929887654529086,True,금천구,독산2동,11180530
8930e036027ffff,3395.8965426455297,926.4775457375002,0.3118452150037277,176.00368952189115,199.9806030487568,True,False,False,3.680131055128908,True,금천구,시흥4동,11180600
8930e03602fffff,3395.8230552920163,926.4574967218513,0.2916643638754727,131.96126092381616,154.96557184116932,True,False,False,2.9185698301468888,True,금천구,시흥4동,11180600
8930e036033ffff,2441.8550384224277,575.7990542833148,0.20340292412573518,217.93082567256508,264.2796686815498,True,False,False,5.024644912245708,True,금천구,독산2동,11180530
8930e03603bffff,2286.2215688112474,528.7332413125814,0.20756811752480364,432.9834947224182,481.53604698064686,False,True,False,8.56081115993434,False,금천구,시흥1동,11180570
8930e0360abffff,2534.3436631245727,603.7805872027072,0.21726984429753618,280.21456431149545,313.1484071409973,True,True,True,5.61491008381121,True,금천구,독산2동,11180530
8930e0360bbffff,2473.132745484962,477.4714815971403,0.22278819909031333,280.4242108202971,306.96444869650963,True,True,True,5.504623397583609,True,금천구,독산1동,11180520
8930e0360d7ffff,2258.6062312802874,341.3282338546891,0.20069868329708787,548.9539165057912,607.7883961654692,False,True,False,11.05911602006033,False,금천구,독산1동,11180520
8930e036117ffff,2910.5422313447752,746.4272985685034,0.23450563525725787,488.84648103334894,638.274130661592,False,True,False,9.856293230905088,False,관악구,난곡동,11210810
8930e036123ffff,2904.9914822132896,753.1094555415988,0.2915897884117308,383.61107223935073,541.6760024026725,True,True,True,8.766979697835282,True,관악구,난곡동,11210810
8930e036133ffff,2922.3358217783766,750.1037132649058,0.343631155921108,197.99524045696415,249.7968667905111,True,True,True,3.8865732385996674,True,관악구,난곡동,11210810
8930e036147ffff,3075.6051267118783,700.8969220543426,0.2583575899320881,400.33723796725985,520.0587951869262,False,True,False,8.044435269943843,False,관악구,난향동,11210710
8930e03616bffff,3066.778232583778,691.7916086277481,0.261144593721912,274.2997935068013,342.8087678016395,True,True,True,6.324562890666996,True,관악구,난향동,11210710
8930e03618bffff,2283.0276414168684,548.9296861117002,0.19509842132401942,523.0729113940678,757.4989408762791,False,True,False,14.084520961034274,False,관악구,미성동,11210830
8930e0361afffff,2922.39898727669,750.1199265537695,0.2829233517812834,206.31761284401452,254.18164675337366,True,True,True,4.0499383261973225,True,관악구,난곡동,11210810
8930e0361d3ffff,2413.913359214006,565.460500963635,0.2525093572570919,185.57761377909793,251.1167325953349,True,False,False,4.974228608068584,True,금천구,독산4동,11180550
8930e0361dbffff,2529.2090401953283,602.1159413776801,0.2166835682783557,217.98670459096232,271.7661934429567,True,False,False,4.278998275304075,True,금천구,독산2동,11180530
8930e036233ffff,1424.555549229682,370.16272244719784,0.13254026470010924,390.9408292779151,425.18904045787247,True,False,False,7.752834847203902,True,금천구,시흥3동,11180590
8930e0362a7ffff,2226.0797775389874,510.5582262518523,0.2216629027356876,251.577832531332,308.0336775274902,True,True,True,4.953529815041104,True,금천구,시흥1동,11180570
8930e0362afffff,1703.5882323931683,419.039063024292,0.18570890283369532,500.33275542285287,588.1194829104254,False,True,False,10.366801323738494,False,금천구,시흥3동,11180590
8930e036307ffff,3926.487548203083,987.7956096108385,0.3801783716005579,310.92926400172047,503.9638159843746,True,True,True,9.487295403707456,True,금천구,시흥2동,11180580
8930e036333ffff,3926.8028430432373,987.874929067481,0.39302904859835647,157.24839914159108,221.821528875399,True,True,True,4.038638286751038,True,금천구,시흥2동,11180580
8930e036387ffff,2438.320462329099,687.4348262486258,0.20620220503646688,385.77173038382676,685.3419948117615,True,True,True,13.343527440169566,True,금천구,시흥5동,11180610
8930e036393ffff,3342.2777799409887,907.4227923212352,0.3058370434544766,233.4729207408351,289.63525670503145,True,True,True,4.61951483309895,True,금천구,시흥4동,11180600
8930e0363abffff,3926.5726226218685,987.8170119803442,0.3613790527404769,352.92552900394855,433.4531779367574,True,True,True,22.922702360186136,True,금천구,시흥2동,11180580
