cost_quartile,demand_quartile,hex_count,vulnerable_count,hidden_count,registered_population_sum,registered_senior_population_sum,mean_access_cost_m3,mean_demand_index_final,hidden_share
C1_low,D1_low,202,0,0,257233.63340682277,47278.71027642897,30.956612192093775,0.12460076943885785,0.0
C1_low,D2,297,0,0,578740.2786697372,109596.90076241097,30.98499713975221,0.19182830425600053,0.0
C1_low,D3,298,0,0,689550.4919989293,139887.51165089532,31.25960892206362,0.24015936709063349,0.0
C1_low,D4_high,299,0,0,838087.1659815643,177655.88072334102,36.77637346730831,0.3123696946972469,0.0
C2,D1_low,215,0,0,287277.92277060857,51623.07003038404,127.83458254294844,0.12764735338192956,0.0
C2,D2,271,0,0,508189.48984770593,98246.94746726785,127.97224605279742,0.19342678101342467,0.0
C2,D3,291,0,0,689163.0554784318,140187.1327747496,127.9008313679601,0.24103621674933973,0.0
C2,D4_high,319,4,4,867434.056315994,180730.62187019823,128.41601169614438,0.30569495993907786,0.012539184952978056
C3,D1_low,238,0,0,312554.8398376269,55337.34817483018,221.2678878787403,0.12466675454793161,0.0
C3,D2,268,0,0,521754.5296327974,102478.72763188499,220.94431877693913,0.19200341339616422,0.0
C3,D3,296,34,34,717005.5012685985,144454.31152770604,218.64799099637557,0.2404112801968047,0.11486486486486487
C3,D4_high,293,160,160,827645.9506254308,173298.93500583878,216.31816682110644,0.31009754020565555,0.5460750853242321
C4_high,D1_low,441,123,10,577116.0184551086,106603.0910894101,555.1903203126055,0.11184628237018386,0.022675736961451247
C4_high,D2,260,163,103,526343.4438443995,104514.04657629742,422.4401748080113,0.19063983269140253,0.39615384615384613
C4_high,D3,210,208,165,528591.6661466727,107797.34366526191,418.83650059261794,0.2411144835355568,0.7857142857142857
C4_high,D4_high,185,185,156,535696.2863666953,112385.40458934804,387.50991236587817,0.3033242785827315,0.8432432432432433
