scenario3_rank,rank,district_name,admin_name,admin_code,hex_id,scenario3_score,primary_low_cost_type,recommended_actions,vulnerability_m3_final,demand_index_final,access_cost_m3,cost_m3_percentile_final,weather_effect,weather_additive_increment_m2_m1,interaction_increment_m3_m2,total_env_increment_m3_m0,env_penalty_percentile_final,slope_increment_m1_m0,slope_increment_share,weather_additive_increment_share,interaction_increment_share,near_400m_distance_pressure,high_demand_pressure,high_m3_cost_pressure,high_env_penalty,registered_population,registered_senior_population,centroid_x,centroid_y,primary_reason
1,1,금천구,시흥2동,11180580,8930e036307ffff,0.9904,제설 우선구간,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.0874,0.3802,503.9638,0.9375,40.5002,27.8078,12.6924,193.0346,0.9918,152.5343,0.7902,0.1441,0.0658,False,True,True,True,3926.4875,987.7956,948432.7033,1938989.5298,high_demand_plus_slope_weather_penalty
2,2,관악구,성현동,11210790,8930e036dbbffff,0.9771,배수 불량/침수 가능,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.0846,0.3705,501.1563,0.9368,33.1853,28.0783,5.107,143.1671,0.9808,109.9818,0.7682,0.1961,0.0357,True,True,True,True,4365.725,930.3166,951749.0195,1943354.802,high_demand_plus_slope_weather_penalty
3,7,서대문구,홍은1동,11130660,8930e1daeb7ffff,0.9493,제설 우선구간,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.0691,0.293,521.2861,0.9434,41.4071,28.7927,12.6144,187.2666,0.9911,145.8594,0.7789,0.1538,0.0674,True,True,True,True,3395.3843,795.3686,951265.8899,1956098.7777,high_demand_plus_slope_weather_penalty
4,3,관악구,난곡동,11210810,8930e036123ffff,0.9434,배수 불량/침수 가능,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.0715,0.2916,541.676,0.9491,39.6127,30.1238,9.4889,158.0649,0.9863,118.4522,0.7494,0.1906,0.06,True,True,True,True,2904.9915,753.1095,949045.1818,1941104.7661,high_demand_plus_slope_weather_penalty
5,4,성동구,행당2동,11040570,8930e1c1683ffff,0.935,제설 우선구간,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.0714,0.3705,422.7717,0.901,28.6218,23.649,4.9728,103.8754,0.9546,75.2536,0.7245,0.2277,0.0479,False,True,True,True,4193.2127,827.9677,958323.0441,1951156.3033,high_demand_plus_slope_weather_penalty
6,5,금천구,시흥2동,11180580,8930e0363abffff,0.9237,배수 불량/침수 가능,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.0713,0.3614,433.4532,0.9069,27.7564,24.3418,3.4145,80.5276,0.9293,52.7713,0.6553,0.3023,0.0424,True,True,True,True,3926.5726,987.817,948454.8959,1939302.3398,high_demand_plus_slope_weather_penalty
7,12,중구,약수동,11020710,8930e1d8b83ffff,0.9197,배수 불량/침수 가능,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.0638,0.3118,451.043,0.9151,29.4199,25.2974,4.1225,92.9932,0.9423,63.5733,0.6836,0.272,0.0443,True,True,True,True,3324.7827,906.5955,956642.0348,1950319.5197,high_demand_plus_slope_weather_penalty
8,9,강북구,삼각산동,11090730,8930e1c355bffff,0.9157,배수 불량/침수 가능,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.066,0.2976,489.5129,0.9327,31.8408,27.4603,4.3805,100.5947,0.9512,68.7539,0.6835,0.273,0.0435,True,True,True,True,3898.8453,716.9965,957154.5393,1957524.5487,high_demand_plus_slope_weather_penalty
9,16,은평구,불광2동,11120720,8930e1d12c7ffff,0.9044,미끄럼 방지 포장,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.062,0.3067,445.4841,0.9128,31.5012,24.839,6.6623,122.472,0.9713,90.9708,0.7428,0.2028,0.0544,True,True,True,True,2281.244,612.605,949134.6322,1958659.4274,high_demand_plus_slope_weather_penalty
10,8,성북구,길음1동,11080660,8930e1c30b3ffff,0.8943,배수 불량/침수 가능,"제설 우선순위, 배수/침수 점검, 미끄럼 방지 포장",0.067,0.3501,420.7625,0.8998,28.2512,23.5507,4.7005,99.3272,0.9491,71.076,0.7156,0.2371,0.0473,True,True,True,True,3845.2712,612.373,957590.2869,1957137.3664,high_demand_plus_slope_weather_penalty
